episode_id,time,agent_id,observation_shape,selected_action,target_node,reward_received
0,84,9,[7],1,4,-0.0
0,84,10,[7],0,10,-1.0
0,84,11,[7],4,20,-1.0
0,84,12,[7],0,12,-0.05000000074505806
0,84,13,[7],3,18,-0.0
0,84,14,[7],4,20,-0.0
0,84,15,[7],3,10,-0.0
0,84,16,[7],0,16,-0.0
0,84,17,[7],3,12,-0.05000000074505806
0,84,18,[7],0,18,-0.20000000298023224
0,84,19,[7],2,9,-0.0
0,85,0,[7],1,5,-1.0
0,85,1,[7],4,20,-0.07500000298023224
0,85,2,[7],1,7,-0.10000000149011612
0,85,3,[7],3,18,-0.07500000298023224
0,85,4,[7],4,20,-0.0
0,85,5,[7],0,5,-0.0
0,85,6,[7],3,16,-0.0
0,85,7,[7],4,20,-1.0
0,85,8,[7],1,3,-0.22499999403953552
0,85,9,[7],0,9,-1.0
0,85,10,[7],3,15,-1.0
0,85,11,[7],4,20,-0.20000000298023224
0,85,12,[7],4,20,-0.0
0,85,13,[7],1,3,-0.0
0,85,14,[7],4,20,-0.0
0,85,15,[7],0,15,-1.0
0,85,16,[7],3,11,-1.0
0,85,17,[7],4,20,-0.0
0,85,18,[7],3,13,-0.0
0,85,19,[7],0,19,-0.07500000298023224
0,86,0,[7],3,15,-0.0
0,86,1,[7],3,16,-0.0
0,86,2,[7],4,20,-1.0750000476837158
0,86,3,[7],4,20,-0.0
0,86,4,[7],3,19,-0.2750000059604645
0,86,5,[7],3,15,-1.0499999523162842
0,86,6,[7],0,6,-0.0
0,86,7,[7],2,12,-1.0
0,86,8,[7],3,18,-0.0
0,86,9,[7],1,4,-0.0
0,86,10,[7],1,0,-0.07500000298023224
0,86,11,[7],3,16,-0.0
0,86,12,[7],4,20,-0.07500000298023224
0,86,13,[7],2,8,-0.0
0,86,14,[7],1,4,-1.0
0,86,15,[7],1,0,-0.0
0,86,16,[7],2,6,-1.0750000476837158
0,86,17,[7],1,2,-0.0
0,86,18,[7],2,8,-0.07500000298023224
0,86,19,[7],4,20,-0.0
0,87,0,[7],3,15,-0.0
0,87,1,[7],0,1,-1.0
0,87,2,[7],2,12,-0.0
0,87,3,[7],4,20,-0.10000000149011612
0,87,4,[7],1,9,-0.0
0,87,5,[7],4,20,-0.0
0,87,6,[7],1,1,-0.05000000074505806
0,87,7,[7],1,2,-1.0
0,87,8,[7],4,20,-0.0
0,87,9,[7],0,9,-0.07500000298023224
0,87,10,[7],0,10,-0.0
0,87,11,[7],4,20,-0.07500000298023224
0,87,12,[7],2,7,-1.0
0,87,13,[7],1,3,-0.0
0,87,14,[7],0,14,-1.0
0,87,15,[7],0,15,-0.07500000298023224
0,87,16,[7],0,16,-0.0
0,87,17,[7],2,7,-0.0
0,87,18,[7],3,13,-0.0
0,87,19,[7],4,20,-0.0
0,88,0,[7],1,5,-0.0
0,88,1,[7],2,11,-1.0
0,88,2,[7],4,20,-0.07500000298023224
0,88,3,[7],2,13,-0.0
0,88,4,[7],0,4,-0.0
0,88,5,[7],1,0,-0.0
0,88,6,[7],2,11,-1.0
0,88,7,[7],0,7,-1.0
0,88,8,[7],2,13,-0.22499999403953552
0,88,9,[7],1,4,-1.0
0,88,10,[7],2,5,-0.0
0,88,11,[7],1,1,-0.05000000074505806
0,88,12,[7],3,17,-1.0
0,88,13,[7],1,3,-0.0
0,88,14,[7],2,9,-0.05000000074505806
0,88,15,[7],2,5,-0.0
0,88,16,[7],1,1,-0.0
0,88,17,[7],4,20,-1.0
0,88,18,[7],2,8,-0.0
0,88,19,[7],1,4,-1.0
0,89,0,[7],2,10,-0.0
0,89,1,[7],1,6,-0.07500000298023224
0,89,2,[7],1,7,-0.0
0,89,3,[7],3,18,-0.0
0,89,4,[7],0,4,-0.0
0,89,5,[7],2,10,-0.0
0,89,6,[7],1,1,-0.0
0,89,7,[7],1,2,-1.0
0,89,8,[7],1,3,-0.0
0,89,9,[7],2,14,-1.0
0,89,10,[7],1,0,-0.0
0,89,11,[7],0,11,-0.0
0,89,12,[7],4,20,-0.22499999403953552
0,89,13,[7],0,13,-1.0
0,89,14,[7],1,4,-0.0
0,89,15,[7],1,0,-0.0
0,89,16,[7],1,1,-0.07500000298023224
0,89,17,[7],2,7,-0.0
0,89,18,[7],0,18,-1.0
0,89,19,[7],0,19,-0.0
0,90,0,[7],3,15,-0.0
0,90,1,[7],3,16,-0.0
0,90,2,[7],0,2,-0.07500000298023224
0,90,3,[7],3,18,-0.0
0,90,4,[7],1,9,-0.07500000298023224
0,90,5,[7],0,5,-1.0
0,90,6,[7],3,16,-1.0
0,90,7,[7],1,2,-0.0
0,90,8,[7],1,3,-1.0
0,90,9,[7],0,9,-0.0
0,90,10,[7],4,20,-0.0
0,90,11,[7],4,20,-0.0
0,90,12,[7],0,12,-0.0
0,90,13,[7],0,13,-0.0
0,90,14,[7],1,4,-0.0
0,90,15,[7],2,5,-0.0
0,90,16,[7],3,11,-1.0
0,90,17,[7],0,17,-1.0
0,90,18,[7],4,20,-1.0
0,90,19,[7],0,19,-0.22499999403953552
0,91,0,[7],1,5,-0.0
0,91,1,[7],2,11,-0.0
0,91,2,[7],2,12,-0.0
0,91,3,[7],2,13,-0.0
0,91,4,[7],2,14,-0.15000000596046448
0,91,5,[7],4,20,-1.0
0,91,6,[7],4,20,-0.0
0,91,7,[7],4,20,-0.0
0,91,8,[7],4,20,-0.0
0,91,9,[7],3,19,-0.0
0,91,10,[7],3,15,-0.0
0,91,11,[7],0,11,-0.07500000298023224
0,91,12,[7],3,17,-0.0
0,91,13,[7],1,3,-1.0499999523162842
0,91,14,[7],2,9,-1.225000023841858
0,91,15,[7],4,20,-0.0
0,91,16,[7],2,6,-1.0
0,91,17,[7],4,20,-0.0
0,91,18,[7],4,20,-0.0
0,91,19,[7],0,19,-0.05000000074505806
0,92,0,[7],3,15,-0.20000000298023224
0,92,1,[7],0,1,-0.0
0,92,2,[7],3,17,-0.07500000298023224
0,92,3,[7],4,20,-0.20000000298023224
0,92,4,[7],3,19,-0.0
0,92,5,[7],3,15,-0.0
0,92,6,[7],3,16,-0.0
0,92,7,[7],0,7,-0.22499999403953552
0,92,8,[7],0,8,-0.15000000596046448
0,92,9,[7],2,14,-0.07500000298023224
0,92,10,[7],0,10,-0.0
0,92,11,[7],1,1,-0.125
0,92,12,[7],1,2,-0.0
0,92,13,[7],3,18,-1.0
0,92,14,[7],4,20,-0.0
0,92,15,[7],1,0,-0.0
0,92,16,[7],4,20,-0.0
0,92,17,[7],1,2,-0.0
0,92,18,[7],3,13,-0.0
0,92,19,[7],3,14,-0.0
0,93,0,[7],1,5,-0.0
0,93,1,[7],3,16,-0.0
0,93,2,[7],2,12,-0.0
0,93,3,[7],0,3,-0.17499999701976776
0,93,4,[7],2,14,-0.17499999701976776
0,93,5,[7],3,15,-0.0
0,93,6,[7],2,11,-1.0
0,93,7,[7],0,7,-0.0
0,93,8,[7],4,20,-0.0
0,93,9,[7],4,20,-0.0
0,93,10,[7],1,0,-0.05000000074505806
0,93,11,[7],1,1,-0.10000000149011612
0,93,12,[7],3,17,-0.0
0,93,13,[7],4,20,-0.0
0,93,14,[7],0,14,-1.0
0,93,15,[7],4,20,-0.20000000298023224
0,93,16,[7],3,11,-0.0
0,93,17,[7],1,2,-0.22499999403953552
0,93,18,[7],0,18,-0.0
0,93,19,[7],0,19,-1.0
0,94,0,[7],2,10,-0.0
0,94,1,[7],2,11,-0.07500000298023224
0,94,2,[7],2,12,-0.0
0,94,3,[7],2,13,-0.0
0,94,4,[7],4,20,-0.0
0,94,5,[7],2,10,-0.20000000298023224
0,94,6,[7],3,16,-1.0
0,94,7,[7],0,7,-0.0
0,94,8,[7],4,20,-0.0
0,94,9,[7],1,4,-0.22499999403953552
0,94,10,[7],2,5,-0.0
0,94,11,[7],4,20,-0.0
0,94,12,[7],1,2,-0.0
0,94,13,[7],0,13,-1.0
0,94,14,[7],4,20,-0.0
0,94,15,[7],3,10,-0.0
0,94,16,[7],3,11,-0.0
0,94,17,[7],2,7,-0.17499999701976776
0,94,18,[7],1,3,-1.0
0,94,19,[7],0,19,-0.10000000149011612
0,95,0,[7],3,15,-0.0
0,95,1,[7],3,16,-0.125
0,95,2,[7],4,20,-0.17499999701976776
0,95,3,[7],3,18,-0.0
0,95,4,[7],4,20,-0.0
0,95,5,[7],2,10,-0.0
0,95,6,[7],0,6,-0.0
0,95,7,[7],4,20,-1.0750000476837158
0,95,8,[7],0,8,-0.17499999701976776
0,95,9,[7],2,14,-0.0
0,95,10,[7],1,0,-0.0
0,95,11,[7],3,16,-0.0
0,95,12,[7],2,7,-0.0
0,95,13,[7],4,20,-1.0
0,95,14,[7],2,9,-0.0
0,95,15,[7],0,15,-0.0
0,95,16,[7],0,16,-0.0
0,95,17,[7],3,12,-0.0
0,95,18,[7],2,8,-1.0750000476837158
0,95,19,[7],3,14,-1.0
0,96,0,[7],3,15,-0.0
0,96,1,[7],1,6,-0.0
0,96,2,[7],3,17,-0.0
0,96,3,[7],3,18,-0.0
0,96,4,[7],1,9,-0.17499999701976776
0,96,5,[7],2,10,-0.0
0,96,6,[7],2,11,-0.0
0,96,7,[7],0,7,-0.0
0,96,8,[7],2,13,-0.0
0,96,9,[7],4,20,-0.0
0,96,10,[7],2,5,-0.22499999403953552
0,96,11,[7],0,11,-0.0
0,96,12,[7],2,7,-1.0
0,96,13,[7],2,8,-1.0750000476837158
0,96,14,[7],0,14,-0.0
0,96,15,[7],4,20,-0.0
0,96,16,[7],3,11,-0.05000000074505806
0,96,17,[7],2,7,-0.0
0,96,18,[7],4,20,-0.0
0,96,19,[7],2,9,-0.0
0,97,0,[7],3,15,-1.0
0,97,1,[7],0,1,-0.0
0,97,2,[7],3,17,-0.17499999701976776
0,97,3,[7],4,20,-1.0
0,97,4,[7],4,20,-0.0
0,97,5,[7],2,10,-0.0
0,97,6,[7],0,6,-1.0750000476837158
0,97,7,[7],1,2,-0.0
0,97,8,[7],2,13,-0.0
0,97,9,[7],2,14,-0.22499999403953552
0,97,10,[7],3,15,-0.0
0,97,11,[7],0,11,-0.0
0,97,12,[7],1,2,-0.0
0,97,13,[7],3,18,-1.0
0,97,14,[7],0,14,-1.0499999523162842
0,97,15,[7],2,5,-0.4000000059604645
0,97,16,[7],2,6,-0.22499999403953552
0,97,17,[7],4,20,-0.22499999403953552
0,97,18,[7],3,13,-1.0
0,97,19,[7],0,19,-0.125
0,98,0,[7],4,20,-1.0
0,98,1,[7],3,16,-0.0
0,98,2,[7],1,7,-0.0
0,98,3,[7],0,3,-0.0
0,98,4,[7],4,20,-0.0
0,98,5,[7],1,0,-0.0
0,98,6,[7],2,11,-0.0
0,98,7,[7],0,7,-0.0
0,98,8,[7],0,8,-0.0
0,98,9,[7],3,19,-0.0
0,98,10,[7],2,5,-0.0
0,98,11,[7],1,1,-0.07500000298023224
0,98,12,[7],0,12,-0.0
0,98,13,[7],4,20,-0.0
0,98,14,[7],3,19,-0.0
0,98,15,[7],4,20,-0.0
0,98,16,[7],4,20,-0.0
0,98,17,[7],4,20,-0.20000000298023224
0,98,18,[7],1,3,-0.0
0,98,19,[7],2,9,-0.0
0,99,0,[7],1,5,-0.0
0,99,1,[7],1,6,-0.0
0,99,2,[7],1,7,-0.0
0,99,3,[7],2,13,-0.05000000074505806
0,99,4,[7],0,4,-0.0
0,99,5,[7],4,20,-0.0
0,99,6,[7],4,20,-1.0
0,99,7,[7],1,2,-1.0
0,99,8,[7],2,13,-1.0
0,99,9,[7],4,20,-0.0
0,99,10,[7],3,15,-0.0
0,99,11,[7],2,6,-0.0
0,99,12,[7],0,12,-0.0
0,99,13,[7],0,13,-0.0
0,99,14,[7],0,14,-1.0
0,99,15,[7],3,10,-0.0
0,99,16,[7],4,20,-0.15000000596046448
0,99,17,[7],4,20,-0.0
0,99,18,[7],3,13,-0.0
0,99,19,[7],1,4,-0.07500000298023224
0,100,0,[7],3,15,-0.0
0,100,1,[7],2,11,-0.0
0,100,2,[7],3,17,-0.0
0,100,3,[7],0,3,-1.0
0,100,4,[7],1,9,-0.0
0,100,5,[7],2,10,-0.0
0,100,6,[7],0,6,-1.100000023841858
0,100,7,[7],1,2,-1.0750000476837158
0,100,8,[7],0,8,-1.0750000476837158
0,100,9,[7],3,19,-1.0
0,100,10,[7],3,15,-1.0
0,100,11,[7],4,20,-0.25
0,100,12,[7],3,17,-0.15000000596046448
0,100,13,[7],4,20,-0.0
0,100,14,[7],0,14,-0.0
0,100,15,[7],3,10,-0.0
0,100,16,[7],4,20,-0.0
0,100,17,[7],2,7,-0.0
0,100,18,[7],4,20,-0.0
0,100,19,[7],0,19,-0.0
0,101,0,[7],2,10,-1.0
0,101,1,[7],2,11,-0.0
0,101,2,[7],1,7,-1.0
0,101,3,[7],0,3,-0.0
0,101,4,[7],1,9,-1.2000000476837158
0,101,5,[7],3,15,-0.22499999403953552
0,101,6,[7],2,11,-1.0
0,101,7,[7],0,7,-0.0
0,101,8,[7],3,18,-0.22499999403953552
0,101,9,[7],4,20,-0.0
0,101,10,[7],4,20,-0.20000000298023224
0,101,11,[7],0,11,-0.0
0,101,12,[7],4,20,-0.07500000298023224
0,101,13,[7],0,13,-1.0
0,101,14,[7],4,20,-1.0499999523162842
0,101,15,[7],4,20,-1.0
0,101,16,[7],4,20,-0.0
0,101,17,[7],3,12,-0.0
0,101,18,[7],4,20,-0.0
0,101,19,[7],1,4,-0.05000000074505806
0,102,0,[7],3,15,-1.0
0,102,1,[7],3,16,-1.0
0,102,2,[7],1,7,-0.0
0,102,3,[7],4,20,-0.0
0,102,4,[7],1,9,-0.20000000298023224
0,102,5,[7],0,5,-0.0
0,102,6,[7],0,6,-1.0
0,102,7,[7],0,7,-0.0
0,102,8,[7],1,3,-0.0
0,102,9,[7],2,14,-0.0
0,102,10,[7],2,5,-0.0
0,102,11,[7],2,6,-0.0
0,102,12,[7],0,12,-0.0
0,102,13,[7],0,13,-0.0
0,102,14,[7],1,4,-0.22499999403953552
0,102,15,[7],2,5,-1.0
0,102,16,[7],3,11,-0.0
0,102,17,[7],1,2,-0.22499999403953552
0,102,18,[7],4,20,-0.0
0,102,19,[7],2,9,-0.20000000298023224
0,103,0,[7],4,20,-0.0
0,103,1,[7],2,11,-0.0
0,103,2,[7],2,12,-1.0
0,103,3,[7],4,20,-0.0
0,103,4,[7],4,20,-0.0
0,103,5,[7],1,0,-0.22499999403953552
0,103,6,[7],4,20,-1.100000023841858
0,103,7,[7],4,20,-0.22499999403953552
0,103,8,[7],3,18,-0.0
0,103,9,[7],1,4,-0.20000000298023224
0,103,10,[7],0,10,-0.0
0,103,11,[7],3,16,-0.0
0,103,12,[7],0,12,-0.0
0,103,13,[7],0,13,-0.0
0,103,14,[7],4,20,-0.0
0,103,15,[7],0,15,-1.0
0,103,16,[7],2,6,-0.0
0,103,17,[7],0,17,-0.0
0,103,18,[7],0,18,-0.0
0,103,19,[7],2,9,-0.0
0,104,0,[7],0,0,-0.0
0,104,1,[7],1,6,-0.0
0,104,2,[7],1,7,-0.0
0,104,3,[7],4,20,-0.15000000596046448
0,104,4,[7],2,14,-0.20000000298023224
0,104,5,[7],1,0,-0.0
0,104,6,[7],1,1,-0.0
0,104,7,[7],3,17,-0.0
0,104,8,[7],2,13,-0.0
0,104,9,[7],4,20,-0.0
0,104,10,[7],3,15,-1.0
0,104,11,[7],0,11,-0.0
0,104,12,[7],4,20,-0.0
0,104,13,[7],2,8,-0.0
0,104,14,[7],3,19,-0.0
0,104,15,[7],2,5,-0.0
0,104,16,[7],4,20,-0.375
0,104,17,[7],0,17,-0.0
0,104,18,[7],2,8,-1.0
0,104,19,[7],2,9,-0.22499999403953552
0,105,0,[7],2,10,-0.0
0,105,1,[7],1,6,-0.0
0,105,2,[7],2,12,-1.0
0,105,3,[7],1,8,-0.0
0,105,4,[7],2,14,-0.0
0,105,5,[7],1,0,-1.0
0,105,6,[7],4,20,-0.0
0,105,7,[7],1,2,-0.0
0,105,8,[7],4,20,-1.0
0,105,9,[7],2,14,-0.0
0,105,10,[7],1,0,-1.0
0,105,11,[7],0,11,-0.20000000298023224
0,105,12,[7],1,2,-0.22499999403953552
0,105,13,[7],4,20,-1.0
0,105,14,[7],4,20,-0.0
0,105,15,[7],1,0,-0.0
0,105,16,[7],2,6,-0.15000000596046448
0,105,17,[7],2,7,-1.0
0,105,18,[7],2,8,-0.0
0,105,19,[7],4,20,-0.0
0,106,0,[7],1,5,-1.0
0,106,1,[7],3,16,-0.20000000298023224
0,106,2,[7],0,2,-1.0
0,106,3,[7],1,8,-0.0
0,106,4,[7],1,9,-0.0
0,106,5,[7],3,15,-1.0
0,106,6,[7],1,1,-0.0
0,106,7,[7],2,12,-0.17499999701976776
0,106,8,[7],4,20,-0.0
0,106,9,[7],0,9,-1.0
0,106,10,[7],2,5,-1.0
0,106,11,[7],3,16,-0.0
0,106,12,[7],3,17,-0.0
0,106,13,[7],2,8,-0.0
0,106,14,[7],0,14,-0.0
0,106,15,[7],0,15,-1.0
0,106,16,[7],3,11,-0.0
0,106,17,[7],1,2,-0.0
0,106,18,[7],1,3,-0.0
0,106,19,[7],1,4,-0.0
0,107,0,[7],2,10,-1.0
0,107,1,[7],0,1,-0.0
0,107,2,[7],0,2,-0.0
0,107,3,[7],2,13,-0.0
0,107,4,[7],2,14,-0.0
0,107,5,[7],3,15,-0.22499999403953552
0,107,6,[7],1,1,-0.0
0,107,7,[7],1,2,-0.0
0,107,8,[7],2,13,-0.0
0,107,9,[7],4,20,-0.0
0,107,10,[7],0,10,-1.0
0,107,11,[7],1,1,-0.0
0,107,12,[7],4,20,-0.0
0,107,13,[7],0,13,-1.0
0,107,14,[7],3,19,-0.0
0,107,15,[7],4,20,-0.0
0,107,16,[7],3,11,-0.0
0,107,17,[7],0,17,-0.0
0,107,18,[7],1,3,-1.0
0,107,19,[7],1,4,-0.0
0,108,0,[7],1,5,-0.0
0,108,1,[7],1,6,-0.0
0,108,2,[7],0,2,-1.0
0,108,3,[7],1,8,-0.0
0,108,4,[7],3,19,-0.0
0,108,5,[7],2,10,-0.0
0,108,6,[7],1,1,-0.0
0,108,7,[7],0,7,-0.0
0,108,8,[7],2,13,-0.0
0,108,9,[7],3,19,-1.0
0,108,10,[7],0,10,-1.0
0,108,11,[7],1,1,-1.0
0,108,12,[7],2,7,-0.0
0,108,13,[7],3,18,-0.0
0,108,14,[7],4,20,-0.0
0,108,15,[7],4,20,-0.0
0,108,16,[7],1,1,-0.0
0,108,17,[7],0,17,-0.0
0,108,18,[7],3,13,-1.0
0,108,19,[7],1,4,-1.0
0,109,0,[7],4,20,-0.0
0,109,1,[7],0,1,-0.0
0,109,2,[7],2,12,-0.0
0,109,3,[7],2,13,-0.0
0,109,4,[7],4,20,-0.0
0,109,5,[7],2,10,-0.0
0,109,6,[7],0,6,-0.0
0,109,7,[7],3,17,-0.0
0,109,8,[7],2,13,-0.0
0,109,9,[7],3,19,-1.0
0,109,10,[7],2,5,-1.0
0,109,11,[7],1,1,-0.0
0,109,12,[7],1,2,-1.0
0,109,13,[7],4,20,-1.0
0,109,14,[7],0,14,-0.0
0,109,15,[7],4,20,-0.0
0,109,16,[7],1,1,-0.0
0,109,17,[7],4,20,-1.0
0,109,18,[7],0,18,-1.0
0,109,19,[7],1,4,-0.0
0,110,0,[7],3,15,-0.0
0,110,1,[7],3,16,-0.0
0,110,2,[7],1,7,-0.0
0,110,3,[7],2,13,-0.0
0,110,4,[7],3,19,-0.0
0,110,5,[7],3,15,-0.0
0,110,6,[7],0,6,-0.0
0,110,7,[7],4,20,-0.0
0,110,8,[7],3,18,-0.0
0,110,9,[7],2,14,-0.0
0,110,10,[7],0,10,-0.0
0,110,11,[7],0,11,-0.0
0,110,12,[7],4,20,-0.0
0,110,13,[7],0,13,-0.0
0,110,14,[7],1,4,-0.0
0,110,15,[7],1,0,-0.0
0,110,16,[7],1,1,-0.0
0,110,17,[7],4,20,-0.0
0,110,18,[7],0,18,-0.0
0,110,19,[7],4,20,-0.0
0,111,0,[7],0,0,-0.0
0,111,1,[7],2,11,-0.0
0,111,2,[7],4,20,-0.0
0,111,3,[7],3,18,-0.0
0,111,4,[7],4,20,-0.0
0,111,5,[7],2,10,-0.0
0,111,6,[7],4,20,-0.0
0,111,7,[7],0,7,-0.0
0,111,8,[7],0,8,-0.0
0,111,9,[7],2,14,-0.0
0,111,10,[7],1,0,-0.0
0,111,11,[7],1,1,-0.0
0,111,12,[7],2,7,-0.0
0,111,13,[7],2,8,-0.0
0,111,14,[7],2,9,-0.0
0,111,15,[7],4,20,-0.0
0,111,16,[7],3,11,-0.0
0,111,17,[7],3,12,-0.0
0,111,18,[7],3,13,-0.0
0,111,19,[7],2,9,-0.0
