slot,task_id,schema_version,state_vector
0,1,None,"[0, 0.0, 0.0, 0, 1, 1, 0, 2.0, 0.3, 0.6, 0.6, 1000, 1000, ('2', 'cloud'), {'local': True, 'compute_local': True, 'horizontal': True, 'offload_horizontal': True, 'vertical': True, 'offload_vertical': True}, {'local': 1.0, 'horizontal': 2.0, 'vertical': 3.0, 'task_size': 2.0}, {'local': 989.0, 'horizontal_2': 970.0, 'horizontal_cloud': 970.0, 'cloud': 970.0}, {'local': 0.0, 'horizontal_2': 0.0, 'horizontal_cloud': 0.0, 'cloud': 0.0}, (1.0, 2.0, 0.3, 1000.0, 0.0, 0.0, 0.0, 989.0, 970.0, 1.0, 1.0, 1.0), ('arrival_indicator', 'task_size', 'processing_density', 'timeout_length', 'queue_load', 'local_queue_depth', 'outbound_queue_depth', 'local_ert', 'min_outbound_ert', 'mask_local', 'mask_horizontal', 'mask_vertical'), ('local', 'horizontal_2', 'horizontal_cloud', 'cloud'), {'local': 989.0, 'horizontal_2': 970.0, 'horizontal_cloud': 970.0, 'cloud': 970.0}, ('cloud', 'horizontal_2', 'horizontal_cloud', 'local')]"
1,2,None,"[1, 1.0, 1.0, 0, 2, 1, 1, 2.0, 0.3, 0.6, 0.6, 1000, 1000, ('2', 'cloud'), {'local': True, 'compute_local': True, 'horizontal': True, 'offload_horizontal': True, 'vertical': True, 'offload_vertical': True}, {'local': 1.0, 'horizontal': 2.0, 'vertical': 3.0, 'task_size': 2.0}, {'local': 987.0, 'horizontal_2': 969.0, 'horizontal_cloud': 969.0, 'cloud': 969.0}, {'local': 0.0, 'horizontal_2': 0.0, 'horizontal_cloud': 0.0, 'cloud': 0.0}, (1.0, 2.0, 0.3, 1000.0, 1.0, 1.0, 0.0, 987.0, 969.0, 1.0, 1.0, 1.0), ('arrival_indicator', 'task_size', 'processing_density', 'timeout_length', 'queue_load', 'local_queue_depth', 'outbound_queue_depth', 'local_ert', 'min_outbound_ert', 'mask_local', 'mask_horizontal', 'mask_vertical'), ('local', 'horizontal_2', 'horizontal_cloud', 'cloud'), {'local': 987.0, 'horizontal_2': 969.0, 'horizontal_cloud': 969.0, 'cloud': 969.0}, ('cloud', 'horizontal_2', 'horizontal_cloud', 'local')]"
2,3,None,"[2, 1.0, 1.0, 0, 3, 1, 2, 2.0, 0.3, 0.6, 0.6, 1000, 1000, ('2', 'cloud'), {'local': True, 'compute_local': True, 'horizontal': True, 'offload_horizontal': True, 'vertical': True, 'offload_vertical': True}, {'local': 1.0, 'horizontal': 2.0, 'vertical': 3.0, 'task_size': 2.0}, {'local': 987.0, 'horizontal_2': 967.0, 'horizontal_cloud': 968.0, 'cloud': 968.0}, {'local': 0.0, 'horizontal_2': 0.0, 'horizontal_cloud': 0.0, 'cloud': 0.0}, (1.0, 2.0, 0.3, 1000.0, 1.0, 0.0, 1.0, 987.0, 967.0, 1.0, 1.0, 1.0), ('arrival_indicator', 'task_size', 'processing_density', 'timeout_length', 'queue_load', 'local_queue_depth', 'outbound_queue_depth', 'local_ert', 'min_outbound_ert', 'mask_local', 'mask_horizontal', 'mask_vertical'), ('local', 'horizontal_2', 'horizontal_cloud', 'cloud'), {'local': 987.0, 'horizontal_2': 967.0, 'horizontal_cloud': 968.0, 'cloud': 968.0}, ('cloud', 'horizontal_2', 'horizontal_cloud', 'local')]"
3,4,None,"[3, 2.0, 2.0, 1, 4, 1, 3, 2.0, 0.3, 0.6, 0.6, 1, 4, ('2', 'cloud'), {'local': True, 'compute_local': True, 'horizontal': False, 'offload_horizontal': False, 'vertical': False, 'offload_vertical': False}, {'local': 1.0, 'task_size': 2.0}, {'local': -10.0, 'horizontal_2': -30.0, 'horizontal_cloud': -30.0, 'cloud': -30.0}, {'local': 10.0, 'horizontal_2': 30.0, 'horizontal_cloud': 30.0, 'cloud': 30.0}, (1.0, 2.0, 0.3, 1.0, 2.0, 0.0, 1.0, -10.0, -30.0, 1.0, 0.0, 0.0), ('arrival_indicator', 'task_size', 'processing_density', 'timeout_length', 'queue_load', 'local_queue_depth', 'outbound_queue_depth', 'local_ert', 'min_outbound_ert', 'mask_local', 'mask_horizontal', 'mask_vertical'), ('local', 'horizontal_2', 'horizontal_cloud', 'cloud'), {'local': -10.0, 'horizontal_2': -30.0, 'horizontal_cloud': -30.0, 'cloud': -30.0}, ('local',)]"
4,5,None,"[4, 3.0, 3.0, 1, 5, 1, 4, 8.0, 0.8, 6.4, 6.4, 2, 6, ('2', 'cloud'), {'local': True, 'compute_local': True, 'horizontal': False, 'offload_horizontal': False, 'vertical': False, 'offload_vertical': False}, {'local': 1.0, 'task_size': 8.0}, {'local': -126.0, 'horizontal_2': -319.0, 'horizontal_cloud': -319.0, 'cloud': -319.0}, {'local': 126.0, 'horizontal_2': 319.0, 'horizontal_cloud': 319.0, 'cloud': 319.0}, (1.0, 8.0, 0.8, 2.0, 3.0, 1.0, 1.0, -126.0, -319.0, 1.0, 0.0, 0.0), ('arrival_indicator', 'task_size', 'processing_density', 'timeout_length', 'queue_load', 'local_queue_depth', 'outbound_queue_depth', 'local_ert', 'min_outbound_ert', 'mask_local', 'mask_horizontal', 'mask_vertical'), ('local', 'horizontal_2', 'horizontal_cloud', 'cloud'), {'local': -126.0, 'horizontal_2': -319.0, 'horizontal_cloud': -319.0, 'cloud': -319.0}, ('local',)]"
5,None,None,"[]"
6,None,None,"[]"
7,None,None,"[]"
8,None,None,"[]"
9,None,None,"[]"
10,None,None,"[]"
11,None,None,"[]"
12,None,None,"[]"
13,None,None,"[]"
14,None,None,"[]"
15,None,None,"[]"
16,None,None,"[]"
17,None,None,"[]"
18,None,None,"[]"
