equation,status,equation_text,necessity_reason,required_action
1,MERGE_OR_INLINE,"\chi_n(t)= \begin{cases} 1, & \text{if a new task arrives in EA } n \text{ at time slot } t,\\ 0, & \text{otherwise.} \end{cases}",Baseline arrival indicator; needed by the simulator but not a distinct ECHO contribution.,Define in prose or the notation table; keep the boolean field in code.
2,KEEP_CORE,d_i=t+\delta_i-1.,Creates the absolute deadline used by every ERT and success condition.,Keep explicitly numbered and unit-test off-by-one behavior.
3,KEEP_CORE,"\mathcal{A}_n(t)=\{\alpha_n^L\}\cup\{\alpha_{n,k}^H\mid k\in\mathcal{E}\setminus\{n\},\,G(n,k)=1\}\cup\{\alpha_n^V\}.","Defines the physically available local, connected-edge, and cloud routes.",Keep explicitly; it is the root of physical masking.
4,MERGE_OR_INLINE,"\kappa(\alpha)=\begin{cases}n, & \alpha=\alpha_n^L,\\k, & \alpha=\alpha_{n,k}^H,\\N+1, & \alpha=\alpha_n^V.\end{cases}",A convenience destination map derived directly from the action labels.,Inline as a definition beside Eq. 3 or encode as an action-to-destination helper.
5,MERGE_OR_INLINE,"\mathcal{Q}_i^{src}(t)=\begin{cases}\mathcal{Q}_{s_i}^L(t), & \kappa(\alpha_i)=s_i,\\\mathcal{Q}_{s_i}^X(t), & \kappa(\alpha_i)\neq s_i.\end{cases}",A direct consequence of local versus offload action selection.,Merge with queue-admission prose; no separate scientific equation is needed.
6,MERGE_OR_INLINE,"k_i=\kappa(\alpha_i),\qquad k_i\in\mathcal{N}\setminus\{s_i\}.","Stored destination is essential, but this equation only restates the action mapping.","Keep as an implementation invariant, not a standalone numbered equation."
7,APPENDIX_OR_SPEC,"z_{i,k}^D(t)=\begin{cases}1, & \text{if transmission of task }\xi_i\text{ to node }k\text{ finishes at }t-1,\\0, & \text{otherwise}.\end{cases}",Defines slot-boundary transmission completion chronology rather than ECHO novelty.,Retain in the simulator contract/appendix and test boundary timing.
8,REMOVE_AS_NUMBERED,"U_k^D(t)=\sum_{i:s_i\neq k}z_{i,k}^D(t).",The aggregate destination-arrival count is not used by later equations or the learning rule.,Remove from the main method unless a metric or constraint explicitly consumes it.
9,KEEP_SUPPORTING,\tau_i^L=\left\lceil\frac{b_i\nu_i}{f_n^L\Delta}\right\rceil.,Required to estimate local service duration and reproduce slot-level execution.,Keep; verify units and ceiling behavior.
10,KEEP_CORE,"\widehat W_i^L(t)=\varrho_n^L(t)+\sum_{\xi_h\in\mathcal{H}_i^L(t)}\tau_h^L,",Defines local waiting under the constructive predecessor order.,Keep and link explicitly to the deterministic order-construction procedure.
11,KEEP_CORE,\widehat T_i^L(t)=t+\widehat W_i^L(t)+\tau_i^L-1.,Produces the local candidate completion estimate used by ERT.,Keep and test one-slot and idle-CPU cases.
12,MERGE_OR_INLINE,"R_{s_i,k_i}=\begin{cases}R_H, & k_i\in\mathcal{E}\setminus\{s_i\},\\ R_V, & k_i=N+1.\end{cases}",A baseline rate selector that can be folded into transmission duration.,Merge with Eq. 13 or define in the notation table.
13,KEEP_SUPPORTING,"\tau_{i,k_i}^X=\left\lceil\frac{b_i}{R_{s_i,k_i}\Delta}\right\rceil.",Required for source-side offloading duration.,Keep; verify horizontal/cloud rate selection and slot rounding.
14,KEEP_CORE,"\widehat W_i^X(t)=\varrho_n^X(t)+\sum_{\xi_h\in\mathcal{H}_i^X(t)}\tau_{h,k_h}^X,",Defines outbound waiting under the ERT order and stored destinations.,Keep and test heterogeneous destination rates among predecessors.
15,KEEP_CORE,"\widehat T_{i,k_i}^X(t)=t+\widehat W_i^X(t)+\tau_{i,k_i}^X-1.",Defines completion of the source transmission stage.,Keep; it is needed for destination-arrival timing.
16,MERGE_OR_INLINE,"\widehat t_{i,k_i}^D(t)=\widehat T_{i,k_i}^X(t)+1.",The destination arrival slot is a one-line consequence of Eq. 15 and the boundary chronology.,Inline with Eq. 25 or the lifecycle specification.
17,KEEP_SUPPORTING,"\mathcal{J}_k(t)=\begin{cases}\left\{n\in\mathcal{E}\setminus\{k\}\mid \Omega_{n\rightarrow k}(t)>0\right\}, & k\in\mathcal{E},\\\left\{n\in\mathcal{E}\mid \Omega_{n\rightarrow k}(t)>0\right\}, & k=N+1.\end{cases}",Defines active source-indexed destination queues for capacity sharing.,"Keep, but state whether the active head task remains included in the queue state."
18,MERGE_OR_INLINE,p_k(t)=\left|\mathcal{J}_k(t)\right|.,Cardinality is immediately derived from Eq. 17.,Merge into Eq. 17 or notation.
19,KEEP_REVISE,\Omega_{n\rightarrow k}(t)=\sum_{\xi_h\in \mathcal{Q}_{n\rightarrow k}^D(t)}b_h^{rem}(t)\nu_h.,"Cycle workload is necessary, but the queue semantics must explicitly include residual work of any active head task.",Revise before implementation; otherwise destination load can be understated.
20,KEEP_CORE,"\bar p_{n,k}(t)=\max\left\{1,p_k(t)+\mathbb{I}\left[n\notin\mathcal{J}_k(t)\right]\right\}.",Accounts for activation of a previously inactive source-indexed queue by a candidate.,Keep; test idle destination and already-active source queue.
21,MERGE_OR_INLINE,"f_k^D=\begin{cases}f_k^{EA}, & k\in\mathcal{E},\\ f^C, & k=N+1.\end{cases}",A convenience unification of edge and cloud capacity.,Fold into Eq. 22 or notation.
22,KEEP_CORE,"\bar f_{n,k}^D(t)=\frac{f_k^D}{\bar p_{n,k}(t)}.",Defines the candidate queue's effective share of destination capacity.,"Keep, while documenting the fixed-share approximation."
23,KEEP_REVISE,"\widehat W_{i,k}^D(t)=\left\lceil\frac{\widehat\Omega_{s_i\rightarrow k}(t)}{\bar f_{s_i,k}^D(t)\Delta}\right\rceil,","Destination waiting is central, but it uses decision-time workload rather than workload predicted at actual arrival.",Specify conservative semantics or estimate workload at the arrival slot; validate estimator bias.
24,KEEP_SUPPORTING,"\tau_{i,k}^D(t)=\left\lceil\frac{b_i\nu_i}{\bar f_{s_i,k}^D(t)\Delta}\right\rceil.",Required destination processing duration under the estimated share.,Keep and test capacity/rounding.
25,KEEP_REVISE,"\widehat T_{i,k}^O(t)=\widehat t_{i,k}^D(t)+\widehat W_{i,k}^D(t)+\tau_{i,k}^D(t)-1.","This is the core end-to-end offload estimate, but its validity depends on corrected arrival-time workload handling in Eq. 23.",Keep after revising and calibrating Eqs. 23-25 together.
26,CONDITIONAL_LSTM,"\mathbf{o}_n(t)=\left[\widehat\Omega_{n\rightarrow k}(t),p_k(t)\right]_{k\in\mathcal{N}\setminus\{n\}}.",Needed only when retaining recurrent load estimation as part of the selected ECHO configuration.,Keep in the LSTM subsection/appendix; ECHO core must remain definable without it.
27,CONDITIONAL_LSTM,"\mathbf{H}_n(t)=\left[\mathbf{o}_n(t-W+1),\ldots,\mathbf{o}_n(t)\right].",History construction is an LSTM input detail inherited from the base framework.,Keep only with the LSTM configuration.
28,KEEP_REVISE,\mathbf{z}_n(t)=F_\psi\left(\mathbf{H}_n(t)\right),"The LSTM path is used, but the equation defines only an embedding while the text also claims a decoded next-slot prediction.","Define both embedding and prediction outputs plus the supervised loss, or narrow the claim."
29,KEEP_CORE,\mathsf{ERT}_i^L(t)=d_i-\widehat T_i^L(t).,Local queue ERT is a primary ECHO contribution.,Keep explicitly.
30,KEEP_CORE,"\mathsf{ERT}_i^X(t)=d_i-\widehat T_{i,k_i}^O(t).",End-to-end transfer queue ERT is a primary ECHO contribution.,Keep explicitly.
31,MERGE_OR_INLINE,"\widehat T_i(\alpha,t)=\begin{cases}\widehat T_i^L(t), & \alpha=\alpha_{s_i}^L,\\\widehat T_{i,k}^O(t), & \kappa(\alpha)=k\neq s_i.\end{cases}",A convenience wrapper over local and offload completion estimates.,Merge with Eq. 32 as a piecewise candidate-ERT definition.
32,KEEP_CORE,"\mathsf{ERT}_i^C(\alpha,t)= d_i-\widehat T_i(\alpha,t).",Candidate-level ERT drives route feasibility and masking.,"Keep explicitly, preferably combined with Eq. 31."
33,MERGE_GENERIC_SCHEDULER,\mathcal{F}_n^L(t)=\left\{\xi_i\in\mathcal{Q}_n^L(t)\mid \mathsf{ERT}_i^L(t)\geq0\right\}.,The feasible-set concept is necessary but duplicated for local and transfer queues.,Replace Eqs. 33-40 with one generic queue-selection rule parameterized by completion estimate.
34,MERGE_GENERIC_SCHEDULER,"\xi_n^{L,*}(t)=\arg\min_{\xi_i\in\mathcal{F}_n^L(t)}\mathsf{ERT}_i^L(t).","Necessary feasible-task selection, but it belongs in the generic scheduler.",Merge into one piecewise scheduling equation or scheduler algorithm.
35,MERGE_GENERIC_SCHEDULER,"\ell_i^L(t)=\max\left\{0,\widehat T_i^L(t)-d_i\right\},","Lateness equals max(0, -ERT) and is algebraically derived.",Define once generically; do not number separately for local queue.
36,MERGE_GENERIC_SCHEDULER,"\xi_n^{L,*}(t)=\arg\min_{\xi_i\in\mathcal{Q}_n^L(t)}\ell_i^L(t),\quad \mathcal{F}_n^L(t)=\emptyset.","Necessary all-late fallback, duplicated by the transfer-queue version.",Merge into the generic scheduler.
37,MERGE_GENERIC_SCHEDULER,\mathcal{F}_n^X(t)=\left\{\xi_i\in\mathcal{Q}_n^X(t)\mid \mathsf{ERT}_i^X(t)\geq0\right\}.,Transfer feasible set duplicates the local structure.,Merge into the generic scheduler.
38,MERGE_GENERIC_SCHEDULER,"\xi_n^{X,*}(t)=\arg\min_{\xi_i\in\mathcal{F}_n^X(t)}\mathsf{ERT}_i^X(t).",Transfer feasible selection duplicates the local structure.,Merge into the generic scheduler.
39,MERGE_GENERIC_SCHEDULER,"\ell_i^X(t)=\max\left\{0,\widehat T_{i,k_i}^O(t)-d_i\right\},",Transfer lateness is the same generic transformation of ERT.,Merge into the generic scheduler.
40,MERGE_GENERIC_SCHEDULER,"\xi_n^{X,*}(t)=\arg\min_{\xi_i\in\mathcal{Q}_n^X(t)}\ell_i^X(t),\quad \mathcal{F}_n^X(t)=\emptyset.",Transfer all-late fallback duplicates the local rule.,Merge into the generic scheduler.
41,KEEP_SUPPORTING,"\bar{\mathcal{A}}_n=\{\alpha_n^L,\alpha_{n,1}^H,\ldots,\alpha_{n,N}^H,\alpha_n^V\}.",Fixed output dimensionality is required for the Q-network and masks.,"Keep in the learning architecture, not as a claimed novelty."
42,KEEP_CORE,"\mathcal{V}_i(t)=\{\alpha\in\mathcal{A}_{s_i}(t)\mid \mathsf{ERT}_i^C(\alpha,t)\geq0\}.",Defines deadline-feasible physical routes.,Keep explicitly.
43,MERGE_OR_INLINE,"\Lambda_i(\alpha,t)=\max\{0,\widehat T_i(\alpha,t)-d_i\}.","Candidate lateness is max(0, -candidate ERT).",Define inline with fallback or once as a generic lateness function.
44,KEEP_CORE,"\alpha_i^{fb}(t)=\arg\min_{\alpha\in\mathcal{A}_{s_i}(t)}\Lambda_i(\alpha,t).",Minimum-lateness fallback prevents arbitrary behavior when all routes are predicted late.,Keep explicitly and define deterministic tie-breaking.
45,KEEP_CORE,"\mathcal{U}_i(t)=\begin{cases}\mathcal{V}_i(t), & \mathcal{V}_i(t)\neq\emptyset,\\ \{\alpha_i^{fb}(t)\}, & \mathcal{V}_i(t)=\emptyset.\end{cases}",Defines the effective action set used by the policy.,Keep explicitly.
46,KEEP_REVISE,"\mu_{n,j}(t)=\mathbb{I}[\bar\alpha_{n,j}\in\mathcal{U}_i(t)],\qquad \boldsymbol{\mu}_n(t)=[\mu_{n,j}(t)]_j.","The mask is essential, but index n must be tied unambiguously to source s_i and invalid canonical ERT entries need a convention.",Revise notation and align with Eq. 54.
47,REMOVE_AS_NUMBERED,\alpha_i\in\mathcal{U}_i(t_i^a).,This only states that the selected action belongs to the set from which it is selected.,Remove; enforce as an invariant/test.
48,REMOVE_AS_NUMBERED,\xi_i\in\mathcal{Q}_i^{src}(t_i^a).,"This is an admission operation, not a mathematical model relation.",Move to Algorithm 1/2 and simulator invariants.
49,REMOVE_OR_REWRITE,"\mathbf{g}_i=(s_i,k_i,t_i^a,b_i,\nu_i,d_i).",The metadata tuple is implementation schema and k_i is undefined for local tasks under Eq. 6.,Remove from main equations; define conditional offload metadata or set a consistent local destination convention.
50,KEEP_REVISE,"\mathbf{p}_i=(\xi_i,\mathbf{s}_{s_i}(t_i^a),\alpha_i,t_i^a,d_i,I_i^R)\in\mathcal{P}_{s_i}.","A pending record is necessary for delayed outcomes, but it omits decision-time selected lateness required by Eq. 58.",Add selected estimated completion/lateness and terminal bookkeeping fields; treat as a data schema.
51,MERGE_OR_INLINE,"q_n^L(t)=|\mathcal{Q}_n^L(t)|,\qquad q_n^X(t)=|\mathcal{Q}_n^X(t)|.",Queue occupancies are straightforward state features.,Move to the state-element table or combine with Eq. 52.
52,KEEP_SUPPORTING,"\Psi_n^L(t)=\varrho_n^L(t)+\sum_{\xi_h\in\mathcal{Q}_n^L(t)}\tau_h^L,\qquad \Psi_n^X(t)=\varrho_n^X(t)+\sum_{\xi_h\in\mathcal{Q}_n^X(t)}\tau_{h,k_h}^X.",Remaining source workloads are informative state features and implementation observables.,"Keep, but combine with state definition if space is constrained."
53,KEEP_REVISE,"\mathbf{s}_n(t)=[\tilde\chi_n(t),\tilde b_i,\tilde\nu_i,\tilde\delta_i,\tilde q_n^L,\tilde q_n^X,\tilde\Psi_n^L,\tilde\Psi_n^X,\tilde\varrho_n^L,\tilde\varrho_n^X,\tilde{\mathbf{o}}_n,\mathbf{z}_n,\widetilde{\mathsf{ERT}}_{n,\min}^L,\widetilde{\mathsf{ERT}}_{n,\min}^X,\tilde{\mathbf{e}}_i^C,\boldsymbol{\mu}_n].","The DRL observation is essential, but undefined values for physically invalid candidate ERT positions must be specified.","Keep after defining normalization, clipping bounds, missing-value encoding, and exact dimension."
54,KEEP_REVISE,"\mathbf{e}_i^C(t)=[\mathsf{ERT}_i^C(\alpha,t)]_{\alpha\in\bar{\mathcal{A}}_{s_i}}.","Fixed candidate ERT vector is needed by Eq. 53, but ERT is undefined for disconnected/source canonical positions.","Define a deterministic fill value plus mask, then merge with Eq. 53 if desired."
55,KEEP_CORE,T_i^{sys}=t_i^r-t_i^a+1.,Defines realized task duration used in reward and reporting.,Keep and test boundary/drop timing.
56,MERGE_OR_INLINE,"I_i^R=\begin{cases}1, & \mathcal{V}_i(t_i^a)=\emptyset,\\0, & \text{otherwise}.\end{cases}",Predicted-infeasibility indicator is needed by the reward but can be defined within the reward block.,Keep concept; separate numbering is optional.
57,KEEP_CORE,"I_i^D=\begin{cases}1, & \xi_i\text{ does not achieve deadline-satisfied completion},\\0, & \text{otherwise}.\end{cases}",Distinguishes actual failure to achieve deadline-satisfied completion.,Keep; ensure every generated task resolves exactly once.
58,KEEP_REVISE,"r_i=-T_i^{sys}-\lambda_R\left(I_i^R+\frac{\Lambda_i(\alpha_i,t_i^a)}{\max\{1,\delta_i\}}\right)-\lambda_D I_i^D.","The reward is central, but penalty weights and interaction with delayed discounting require validation.",Keep; pre-register weight selection and test double-counting/sensitivity.
59,KEEP_REVISE,"\rho_{n,m}=\sum_{\substack{\xi_i:s_i=n,\\\tau_{n,m}\leq t_i^r<\tau_{n,m+1}}}\gamma^{t_i^r-\tau_{n,m}}r_i,\qquad \Delta_{n,m}=\tau_{n,m+1}-\tau_{n,m}.",Essential if the stronger event-driven SMDP formulation is retained; it prevents overlapping delayed-reward transitions.,"Keep; specify first/last interval, terminal state, and reward-timing semantics."
60,KEEP_REVISE,"\Pr(\mathbf{x}_{n,m+1},\Delta_{n,m},\rho_{n,m}\mid \mathbf{x}_{n,0},\alpha_{n,0},\ldots,\mathbf{x}_{n,m},\alpha_{n,m}) =\Pr(\mathbf{x}_{n,m+1},\Delta_{n,m},\rho_{n,m}\mid \mathbf{x}_{n,m},\alpha_{n,m}).","Supports the requested formal SMDP claim, but only for the complete simulator state under explicit Markov assumptions.",Keep proposition; move proof to appendix if needed and do not claim the compressed observation is Markov.
61,APPENDIX_OR_CITATION,"Q_n(\mathbf{s},\alpha;\theta_n)=V_n(\mathbf{s};\theta_n)+A_n(\mathbf{s},\alpha;\theta_n)-\frac{1}{|\bar{\mathcal{A}}_n|}\sum_{\alpha'\in\bar{\mathcal{A}}_n}A_n(\mathbf{s},\alpha';\theta_n).","Standard inherited Dueling-DQN decomposition, not an ECHO contribution.",Cite the baseline and place in appendix/implementation spec unless required by venue.
62,KEEP_CORE,"Q_n^\mu(\mathbf{s},\alpha;t)=\begin{cases}Q_n(\mathbf{s},\alpha;\theta_n), & \alpha\in\mathcal{U}_i(t),\\-\infty, & \alpha\notin\mathcal{U}_i(t).\end{cases}",Defines how deadline and physical constraints enter value-based action selection.,Keep explicitly.
63,KEEP_CORE,"\alpha_i=\begin{cases}\text{uniform sample from }\mathcal{U}_i(t_i^a), & \text{with probability }\epsilon,\\\arg\max_{\alpha\in\bar{\mathcal{A}}_{s_i}}Q_{s_i}^\mu(\mathbf{s}_{s_i}(t_i^a),\alpha;t_i^a), & \text{with probability }1-\epsilon.\end{cases}",Ensures exploration and exploitation obey the same action mask.,Keep explicitly.
64,KEEP_SUPPORTING,"\alpha_{n,m+1}^+=\arg\max_{\alpha'\in\bar{\mathcal{A}}_n}Q_n^\mu(\mathbf{s}_n(\tau_{n,m+1}),\alpha';\tau_{n,m+1}).",Required for masked Double-DQL next-action selection.,Keep in the learning update block.
65,KEEP_REVISE,"y_{n,m}=\begin{cases}\rho_{n,m}, & \mathbf{s}_n(\tau_{n,m+1})\text{ is terminal},\\\rho_{n,m}+\gamma^{\Delta_{n,m}}Q_n^-(\mathbf{s}_n(\tau_{n,m+1}),\alpha_{n,m+1}^+;\theta_n^-), & \text{otherwise}.\end{cases}","Core SMDP Double-DQL target, contingent on a valid next-state mask and terminal convention.",Keep after Algorithm 1 ordering and terminal-state fixes.
66,MERGE_OR_INLINE,"\widehat y_{n,m}=Q_n(\mathbf{s}_n(\tau_{n,m}),\alpha_{n,m};\theta_n).",The online prediction is a direct term in the loss.,Inline into Eq. 67.
67,KEEP_SUPPORTING,"\mathcal{L}_n(\theta_n)=\frac{1}{|B|}\sum_{(n,m)\in B}(y_{n,m}-\widehat y_{n,m})^2.","Standard mini-batch loss required for implementation, though not novel.",Keep or combine with Eq. 66; cite standard DQL practice.
